id,ownerFullName,ownerId,ownerUsername,timestamp,type,url,likesCount,commentsCount,ReelDuration,ReelPlayCount,ReelViewCount
3538234109228658345,Ranveer Allahbadia,8981444724,ranveerallahbadia,2025-01-04T17:09:02.000Z,Reel,https://www.instagram.com/p/DEaVS0Mvq6p/,73357,312,49.92,999172,351811
3538241627221648961,The Ranveer Show,33387182893,theranveershowpodcast,2025-01-04T17:22:20.000Z,Reel,https://www.instagram.com/p/DEaXAN4C-ZB/,65870,632,32.321,759703,278015
3538239234425652260,Ranveer Allahbadia,8981444724,ranveerallahbadia,2025-01-04T17:18:00.000Z,Reel,https://www.instagram.com/p/DEaWdZaSoQk/,170792,574,40.96,1736176,860505
3538242247437361567,Ranveer Allahbadia,8981444724,ranveerallahbadia,2025-01-04T17:23:55.000Z,Reel,https://www.instagram.com/p/DEaXJPfyKGf/,6663,19,21.56,155100,37284
3538240698564954003,Ranveer Allahbadia,8981444724,ranveerallahbadia,2025-01-04T17:21:40.000Z,Reel,https://www.instagram.com/p/DEaWys_y0eT/,22955,81,50.28,239664,85062
3538243497130252263,Ranveer Allahbadia,8981444724,ranveerallahbadia,2025-01-04T17:26:18.000Z,Reel,https://www.instagram.com/p/DEaXbbXSNfn/,25091,40,46.6,498872,154307
3536738971830618159,Ranveer Allahbadia,8981444724,ranveerallahbadia,2025-01-02T15:37:11.000Z,Reel,https://www.instagram.com/p/DEVBVs_Pogv/,14317,34,83.266,310284,90928
3538254203099669752,Ranveer Allahbadia,8981444724,ranveerallahbadia,2025-01-04T17:47:21.000Z,Reel,https://www.instagram.com/p/DEaZ3OEyeT4/,33970,58,34.52,461922,164621
3535189875634254161,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-31T12:18:15.000Z,Carousel,https://www.instagram.com/p/DEPhHYuvLFR/,79905,100,,,
3538225703160557838,The Ranveer Show,33387182893,theranveershowpodcast,2025-01-04T16:53:10.000Z,Reel,https://www.instagram.com/p/DEaTYfcCrEO/,5945,31,134.791,166909,32423
3535115754825235912,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-31T09:50:59.000Z,Carousel,https://www.instagram.com/p/DEPQQyWPr3I/,31575,75,,,
3535174075271735929,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-31T11:48:05.000Z,Reel,https://www.instagram.com/p/DEPdhdfvep5/,69033,209,33.25,962971,260039
3532875684432888682,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-28T07:40:22.000Z,Static,https://www.instagram.com/p/DEHS7eOPMNq/,182432,196,,,
3530953647476300370,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-25T16:03:05.000Z,Reel,https://www.instagram.com/p/DEAd6J0MdpS/,31123,90,25.96,792369,260809
3535171893679932404,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-31T11:44:19.000Z,Reel,https://www.instagram.com/p/DEPdBtuvMP0/,200548,545,45.697,1687749,693623
3532119513170304504,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-27T06:39:22.000Z,Reel,https://www.instagram.com/p/DEEm_u2vd34/,42125,84,15.4,611756,163272
3530954220318362243,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-25T16:02:45.000Z,Carousel,https://www.instagram.com/p/DEAeCfUPgqD/,220511,202,,,
3530231421865890892,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-24T16:06:41.000Z,Static,https://www.instagram.com/p/DD95sYzPRRM/,41668,46,,,
3538245981517357995,Ranveer Allahbadia,8981444724,ranveerallahbadia,2025-01-04T17:31:23.000Z,Reel,https://www.instagram.com/p/DEaX_lIS6Or/,36875,53,30.44,496899,150302
3530847243789522681,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-25T12:30:34.000Z,Reel,https://www.instagram.com/p/DEAFtxqPdb5/,39299,66,36.36,568963,184645
3529983762684993604,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-24T07:56:29.000Z,Reel,https://www.instagram.com/p/DD9BYeNvGBE/,213928,322,52.6,2738762,1435833
3530940839045090923,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-25T15:37:46.000Z,Reel,https://www.instagram.com/p/DEAa_xCM85r/,15757,239,119.606,1131831,404823
3530082427713959844,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-24T11:12:05.000Z,Reel,https://www.instagram.com/p/DD9X0PLvTek/,14829,46,14.44,640296,138785
3533119172990783265,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-28T15:46:09.000Z,Reel,https://www.instagram.com/p/DEIKSsnPM8h/,182478,347,43.72,5133709,2162335
3528050047721462152,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-21T15:54:55.000Z,Reel,https://www.instagram.com/p/DD2JtN0PNmI/,22195,51,27.2,1167084,325261
3528042896416571249,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-21T15:40:52.000Z,Reel,https://www.instagram.com/p/DD2IFJpP_9x/,6015,20,73.433,369411,84304
3536033601197956521,Ranveer Allahbadia,8981444724,ranveerallahbadia,2025-01-01T16:15:43.000Z,Reel,https://www.instagram.com/p/DESg9NZP92p/,6114,17,152.2,269030,63289
3527801203121343671,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-21T07:38:16.000Z,Static,https://www.instagram.com/p/DD1RIDOPky3/,138300,118,,,
3526600679751628324,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-19T15:54:10.000Z,Reel,https://www.instagram.com/p/DDxAKItPzYk/,11785,44,140.24,275460,77450
3526590586939093235,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-19T15:33:00.000Z,Carousel,https://www.instagram.com/p/DDw93RCvbDz/,265919,278,,,
3527156939605657749,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-20T10:21:21.000Z,Reel,https://www.instagram.com/p/DDy-oyEP8iV/,57152,204,22.6,2774838,695711
3522243240688228579,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-13T15:39:01.000Z,Reel,https://www.instagram.com/p/DDhhZDVvhjj/,28150,31,40.28,746680,164219
3522241444209014552,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-13T15:32:01.000Z,Static,https://www.instagram.com/p/DDhg-6PPLcY/,149892,93,,,
3533114894112904331,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-28T15:36:44.000Z,Reel,https://www.instagram.com/p/DEIJUbmPdSL/,14542,34,77.9,393020,120876
3516451618687824646,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-05T15:53:16.000Z,Reel,https://www.instagram.com/p/DDM8h3BvDMG/,32839,42,36.04,641358,215197
3520856497192546715,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-11T17:42:04.000Z,Reel,https://www.instagram.com/p/DDcmFR0SbGb/,28107,73,90,810727,248815
3519094499986658791,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-09T07:19:36.000Z,Static,https://www.instagram.com/p/DDWVc2CvFXn/,94340,181,,,
3514277231423608993,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-02T15:49:42.000Z,Reel,https://www.instagram.com/p/DDFOIXFP1ih/,8868,92,89.5,350406,95100
3512840763295524752,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-30T16:15:27.000Z,Reel,https://www.instagram.com/p/DDAHg_4veeQ/,20325,79,38.96,474208,129367
3514008090619699596,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-02T06:55:15.000Z,Reel,https://www.instagram.com/p/DDEQ72LPGGM/,12887,27,142.76,436286,112937
3513213393953454756,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-01T04:34:54.000Z,Carousel,https://www.instagram.com/p/DDBcPfOvXqk/,251696,357,,,
3519348496056423199,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-09T15:45:27.000Z,Reel,https://www.instagram.com/p/DDXPM-UP5Mf/,28526,65,32.92,1299645,297301
3513964246368782397,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-02T05:27:19.000Z,Reel,https://www.instagram.com/p/DDEG91CPAg9/,122106,642,45.88,1367238,544136
3512826439831162573,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-30T15:47:03.000Z,Reel,https://www.instagram.com/p/DDAEQkHvI7N/,27939,58,46.8,753411,218364
3528734071586775202,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-22T14:31:43.000Z,Carousel,https://www.instagram.com/p/DD4lPErv2Ci/,179657,769,,,
3511801220341509973,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-29T05:49:10.000Z,Static,https://www.instagram.com/p/DC8bJqEPS9V/,130361,71,,,
3522966333597527975,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-12-14T15:33:18.000Z,Reel,https://www.instagram.com/p/DDkFzcFva-n/,179597,295,88.4,2804365,1422822
3510523627028219678,BeerBiceps SkillHouse,63582874501,beerbiceps_skillhouse,2024-11-27T11:30:00.000Z,Reel,https://www.instagram.com/p/DC34qOkogce/,9945,28,14,227239,54007
3500939098388800987,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-14T06:10:25.000Z,Reel,https://www.instagram.com/p/DCV1Y-rvaXb/,43000,62,18.68,1304233,536413
3509064287990830163,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-25T11:11:22.000Z,Carousel,https://www.instagram.com/p/DCys2DLs9RT/,293612,1051,,,
3504872432508674255,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-19T16:22:54.000Z,Static,https://www.instagram.com/p/DCjzuhivSDP/,126051,307,,,
3501239288207382559,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-14T16:05:45.000Z,Reel,https://www.instagram.com/p/DCW5pUPPhgf/,35857,86,97.96,1397948,233996
3510669859190970598,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-27T16:22:21.000Z,Reel,https://www.instagram.com/p/DC4Z6L4v5jm/,150606,287,53.12,4728410,978244
3500255903175627986,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-13T07:30:41.000Z,Static,https://www.instagram.com/p/DCTaDLjv1TS/,250654,335,,,
3501270869337942851,Indresh Upadhyay,406033225,bhaktipath,2024-11-14T17:07:14.000Z,Static,https://www.instagram.com/p/DCXA04dT6tD/,168946,748,,,
3504889979707489337,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-19T16:59:00.000Z,Reel,https://www.instagram.com/p/DCj3t3pSnw5/,125765,430,38.4,1683831,781236
3514235794385469492,Ranveer Allahbadia,501113371,beerbiceps,2024-12-02T14:26:14.000Z,Carousel,https://www.instagram.com/p/DDFEtX1TwA0/,103500,1104,,,
3501661666782751498,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-15T06:05:05.000Z,Reel,https://www.instagram.com/p/DCYZru8MCsK/,56093,101,39.36,1949997,449020
3504021398663339402,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-18T12:13:59.000Z,Reel,https://www.instagram.com/p/DCgyOWgsh2K/,541659,2224,37.24,4213147,2381155
3506326710054904054,Ranveer Allahbadia,8981444724,ranveerallahbadia,2024-11-21T16:33:25.000Z,Reel,https://www.instagram.com/p/DCo-ZDDSWD2/,14904,74,90.04,1297665,183051
